Target,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39,Sp41,Sp42,Sp43,Sp44,Sp45,Sp46,Sp47,Sp48,Sp49
NN,0.5082,0.6091,0.4097,0.2992,0.5082,0.5636,0.4632,0.3672,0.5082,0.606,0.5053,0.3672,0.5738,0.5742,0.4131,0.3419,0.625,0.5825,0.4217,0.2174,0.5357,0.5825,0.4111,0.328,0.5574,0.6078,0.4943,0.3084,0.6071,0.5858,0.4526,0.2969,0.537,0.5742,0.4105,0.2969
NN,0.4426,0.5636,0.3615,0.2992,0.4426,0.5273,0.4211,0.3672,0.4426,0.6565,0.4632,0.3906,0.4426,0.5346,0.3696,0.2821,0.4821,0.5437,0.3735,0.2174,0.5357,0.5437,0.4111,0.328,0.4918,0.451,0.3219,0.275,0.5357,0.4647,0.3264,0.2579,0.463,0.4555,0.3684,0.3282
NN,0.4426,0.5273,0.4097,0.3334,0.4426,0.6091,0.4632,0.3906,0.5738,0.6565,0.6421,0.3906,0.4426,0.5346,0.3696,0.2821,0.5357,0.5437,0.3735,0.2435,0.625,0.6213,0.4556,0.36,0.4918,0.451,0.3219,0.2334,0.4643,0.4647,0.3684,0.3282,0.463,0.4555,0.4842,0.3906
NN,0.4426,0.6091,0.4578,0.359,0.5738,0.6091,0.6421,0.3906,0.6393,0.6969,0.5895,0.4219,0.4918,0.5346,0.3696,0.3077,0.625,0.6213,0.4217,0.2783,0.625,0.6602,0.6,0.416,0.4262,0.451,0.3678,0.3084,0.4643,0.4647,0.4842,0.3906,0.6111,0.5346,0.4842,0.4219
NN,0.6393,0.6091,0.5542,0.3932,0.6393,0.6818,0.6421,0.4531,0.7049,0.7777,0.6842,0.4844,0.7049,0.7326,0.5543,0.4359,0.7678,0.7378,0.6265,0.3739,0.8392,0.7766,0.7555,0.472,0.6229,0.6862,0.5862,0.4084,0.7678,0.707,0.6631,0.4531,0.7777,0.693,0.621,0.4531
NN,0.7704,0.7181,0.7108,0.4274,0.7704,0.7636,0.6421,0.4844,0.7704,0.7777,0.6842,0.4531,0.7704,0.7722,0.7065,0.4957,0.8392,0.8252,0.6867,0.4,0.8392,0.7378,0.7,0.472,0.7704,0.7647,0.6896,0.4417,0.8392,0.7878,0.5684,0.4531,0.8518,0.7722,0.621,0.4219
NN,0.7049,0.6454,0.6626,0.3932,0.6393,0.5636,0.6842,0.4531,0.7704,0.7373,0.5895,0.4531,0.7704,0.7326,0.5978,0.4359,0.7678,0.699,0.6265,0.3739,0.8392,0.699,0.6,0.448,0.7049,0.6862,0.6436,0.4084,0.8392,0.7474,0.621,0.4531,0.8518,0.7326,0.621,0.4531
NN,0.6393,0.5636,0.7108,0.4274,0.7704,0.6818,0.5895,0.4531,0.836,0.8686,0.6421,0.4844,0.7049,0.693,0.5978,0.4359,0.8392,0.699,0.5783,0.3739,0.8392,0.7378,0.7,0.472,0.7704,0.7254,0.6436,0.4417,0.8392,0.7474,0.621,0.4531,0.7777,0.7326,0.6631,0.4531
NN,0.836,0.7999,0.7108,0.4872,0.836,0.7636,0.7368,0.4844,0.7049,0.7777,0.6421,0.4531,0.7704,0.8217,0.7065,0.4957,0.8392,0.8252,0.7951,0.4,0.9106,0.8252,0.8666,0.504,0.7704,0.8039,0.6896,0.4833,0.9285,0.7878,0.621,0.4922,0.9444,0.8118,0.6631,0.4922
NN,0.7049,0.7181,0.6626,0.4274,0.7049,0.6454,0.6421,0.4531,0.7049,0.6969,0.5895,0.4844,0.836,0.8217,0.6521,0.4615,0.8392,0.7378,0.6867,0.3739,0.9999,0.7766,0.7,0.472,0.7704,0.8039,0.7471,0.4833,0.9285,0.7878,0.6631,0.4531,0.9444,0.7722,0.6631,0.4531
NN,0.7049,0.6454,0.6024,0.4615,0.7049,0.6818,0.6421,0.4531,0.7049,0.7777,0.6421,0.4531,0.9179,0.7722,0.6521,0.4615,0.9106,0.8252,0.7469,0.4348,0.9106,0.8252,0.7555,0.504,0.8524,0.7647,0.6896,0.4417,0.9285,0.7878,0.621,0.4531,0.8518,0.7722,0.621,0.4922
NN,0.7049,0.7181,0.6626,0.4274,0.7704,0.7636,0.6842,0.4844,0.7704,0.8282,0.7368,0.4531,0.836,0.8217,0.7065,0.4957,0.9106,0.7766,0.6867,0.4348,0.9106,0.7766,0.7555,0.472,0.7704,0.7647,0.6436,0.4833,0.8392,0.7878,0.621,0.4531,0.8518,0.7722,0.621,0.4531
NN,0.7704,0.7636,0.7108,0.4615,0.7704,0.7636,0.7368,0.4531,0.7704,0.8282,0.6842,0.4531,0.836,0.7722,0.6521,0.4957,0.9106,0.7766,0.7469,0.4,0.8392,0.7766,0.7555,0.472,0.7704,0.7647,0.6436,0.4417,0.8392,0.7878,0.621,0.4531,0.8518,0.7722,0.621,0.4531
NN,0.7704,0.7636,0.7108,0.4274,0.836,0.7181,0.5895,0.4531,0.7704,0.7777,0.5895,0.4531,0.7704,0.7722,0.7065,0.4615,0.8392,0.7766,0.7469,0.4,0.8392,0.7378,0.6444,0.448,0.7704,0.7647,0.6436,0.4417,0.8392,0.7474,0.621,0.4531,0.9444,0.7326,0.621,0.4531
NN,0.836,0.7181,0.6024,0.4274,0.7704,0.7181,0.5895,0.4531,0.7049,0.7777,0.6421,0.4219,0.7704,0.7722,0.7065,0.4615,0.8392,0.7378,0.6265,0.3739,0.8392,0.7378,0.7,0.504,0.7704,0.7254,0.6436,0.4417,0.9285,0.7474,0.621,0.4531,0.8518,0.7722,0.621,0.4531
NN,0.7704,0.6454,0.6024,0.3932,0.7049,0.6454,0.5895,0.4219,0.7704,0.7777,0.5474,0.4219,0.7704,0.7722,0.6521,0.4615,0.8392,0.7378,0.6265,0.3392,0.8392,0.7378,0.6444,0.472,0.7704,0.8039,0.6896,0.4833,0.8392,0.7878,0.6631,0.4531,0.8518,0.7722,0.6631,0.4531
NN,0.7049,0.6454,0.6024,0.3932,0.7704,0.7181,0.5474,0.4219,0.7704,0.7373,0.5474,0.4219,0.7704,0.7326,0.5978,0.4017,0.8392,0.7378,0.6265,0.4,0.7678,0.699,0.6,0.448,0.7704,0.7647,0.6896,0.4417,0.8392,0.7878,0.6631,0.4531,0.8518,0.7722,0.621,0.4219
NN,0.7704,0.6818,0.5542,0.3932,0.7704,0.6454,0.5895,0.4219,0.7049,0.7373,0.5895,0.4219,0.7049,0.693,0.5543,0.4359,0.7678,0.7378,0.6265,0.3392,0.8392,0.699,0.6,0.448,0.7704,0.7647,0.6436,0.4084,0.7678,0.707,0.5684,0.4531,0.6851,0.693,0.5263,0.3906
NN,0.7704,0.7636,0.6024,0.4274,0.7704,0.7181,0.6421,0.4531,0.7049,0.7777,0.5895,0.4531,0.7704,0.6534,0.5543,0.4017,0.7678,0.699,0.6265,0.3739,0.8392,0.7378,0.7,0.448,0.7704,0.647,0.5402,0.4084,0.8392,0.7474,0.5263,0.4219,0.8518,0.7326,0.621,0.4219
NN,0.7049,0.7181,0.6024,0.4274,0.7049,0.7181,0.6421,0.4844,0.7049,0.7777,0.6842,0.4531,0.7704,0.7326,0.6521,0.4359,0.8392,0.7766,0.6867,0.3739,0.8392,0.7378,0.6444,0.448,0.7704,0.7254,0.6436,0.4084,0.8392,0.7474,0.6631,0.4219,0.7777,0.7326,0.5684,0.4219
NN,0.7049,0.7181,0.7108,0.4274,0.7704,0.7181,0.6421,0.4531,0.7704,0.7777,0.5895,0.4531,0.7704,0.7326,0.5978,0.4359,0.8392,0.7378,0.6867,0.3739,0.8392,0.699,0.6,0.448,0.7049,0.7254,0.5862,0.4084,0.7678,0.707,0.621,0.4219,0.7777,0.7326,0.5684,0.4219
NN,0.7704,0.7181,0.6626,0.4274,0.7704,0.7181,0.5895,0.4531,0.7049,0.7777,0.5895,0.4531,0.7704,0.7326,0.6521,0.4359,0.8392,0.699,0.5783,0.3739,0.7678,0.699,0.6,0.448,0.7049,0.6862,0.6436,0.4084,0.7678,0.7474,0.5684,0.4219,0.8518,0.693,0.5263,0.3906
NN,0.7704,0.7181,0.6024,0.4274,0.7049,0.7181,0.5895,0.4531,0.7049,0.7373,0.6421,0.4219,0.7704,0.693,0.5543,0.4359,0.7678,0.699,0.5783,0.3739,0.7678,0.699,0.6,0.416,0.7049,0.7254,0.5862,0.4084,0.8392,0.707,0.5263,0.3906,0.7777,0.693,0.5684,0.3906
NN,0.7049,0.6818,0.6626,0.3932,0.7049,0.6454,0.5053,0.4219,0.6393,0.6969,0.5474,0.4219,0.7049,0.693,0.5543,0.4017,0.7678,0.699,0.5301,0.3392,0.6964,0.6213,0.5111,0.392,0.7049,0.6862,0.5862,0.375,0.6785,0.6666,0.5263,0.3906,0.6851,0.693,0.5263,0.4219
NN,0.7049,0.6454,0.506,0.3932,0.6393,0.6454,0.5474,0.4219,0.6393,0.6565,0.5474,0.4219,0.7049,0.693,0.5109,0.4017,0.6964,0.6213,0.4819,0.3131,0.6964,0.5825,0.5111,0.36,0.6229,0.647,0.5402,0.375,0.6785,0.707,0.5263,0.4219,0.6851,0.6534,0.5263,0.4219
NN,0.6393,0.6091,0.5542,0.3932,0.5738,0.5636,0.5053,0.3906,0.4426,0.4849,0.4632,0.3906,0.6393,0.5742,0.4674,0.3419,0.5357,0.466,0.3735,0.3131,0.3393,0.2622,0.4111,0.36,0.6229,0.647,0.5402,0.4084,0.6785,0.6262,0.5684,0.3906,0.6111,0.4951,0.4842,0.3906
NN,0.5738,0.5636,0.506,0.359,0.4426,0.4546,0.4632,0.3906,0.3115,0.3334,0.2948,0.3672,0.4918,0.4555,0.3696,0.3761,0.3393,0.2622,0.3735,0.2783,0.2679,0.3301,0.4111,0.392,0.6229,0.6078,0.5862,0.375,0.6071,0.505,0.4842,0.3906,0.6111,0.5346,0.4842,0.3906
NN,0.3115,0.3182,0.2651,0.3334,0.3771,0.4182,0.4211,0.3672,0.6393,0.6565,0.5895,0.4219,0.246,0.3169,0.3696,0.3761,0.5357,0.5049,0.5301,0.3392,0.6964,0.6602,0.5555,0.448,0.5574,0.5294,0.4943,0.375,0.7678,0.707,0.5684,0.4219,0.7777,0.693,0.5684,0.4219
NN,0.3771,0.4182,0.4097,0.3334,0.6393,0.6091,0.5895,0.4219,0.7049,0.6969,0.5474,0.4219,0.4918,0.4951,0.5109,0.4017,0.6964,0.6602,0.5301,0.3739,0.6964,0.6213,0.5555,0.416,0.7049,0.6862,0.5862,0.4084,0.7678,0.707,0.5684,0.4219,0.6851,0.6534,0.5263,0.3594
NN,0.6393,0.6091,0.5542,0.3334,0.5738,0.6091,0.4632,0.336,0.5082,0.5252,0.3369,0.3047,0.5738,0.5346,0.4131,0.3419,0.5357,0.5049,0.3735,0.2435,0.5357,0.5049,0.3223,0.304,0.5574,0.5294,0.3678,0.3084,0.5357,0.4647,0.3684,0.2969,0.537,0.4951,0.2843,0.2969
NN,0.5082,0.4909,0.3133,0.265,0.4426,0.4182,0.2948,0.2813,0.3771,0.4041,0.2948,0.2813,0.4918,0.4951,0.2827,0.2821,0.5357,0.5049,0.3253,0.2174,0.5357,0.5049,0.3223,0.272,0.4918,0.4902,0.2759,0.275,0.5357,0.4647,0.3264,0.2969,0.463,0.4258,0.3264,0.2969
NN,0.4426,0.4182,0.2651,0.2394,0.3771,0.3818,0.2948,0.2813,0.4426,0.4849,0.379,0.2813,0.4918,0.4951,0.3261,0.2821,0.5357,0.5049,0.2772,0.1827,0.4821,0.466,0.3223,0.304,0.4918,0.451,0.3219,0.275,0.4643,0.4344,0.3264,0.2969,0.463,0.3466,0.3264,0.2969
NN,0.4426,0.4546,0.3615,0.2394,0.3771,0.3546,0.379,0.3047,0.2623,0.2627,0.2948,0.336,0.4426,0.4555,0.2827,0.2821,0.3393,0.3981,0.2772,0.2174,0.2143,0.2622,0.2778,0.328,0.4262,0.3432,0.3219,0.275,0.3215,0.3233,0.2843,0.3282,0.2408,0.2476,0.3684,0.2969
NN,0.3771,0.3546,0.3615,0.265,0.2623,0.2546,0.2948,0.336,0.1968,0.2021,0.2211,0.2813,0.3115,0.3862,0.2827,0.2821,0.2143,0.2622,0.229,0.2435,0.2143,0.2622,0.2334,0.272,0.2951,0.3138,0.2759,0.3084,0.25,0.2526,0.3684,0.2969,0.2408,0.2179,0.2527,0.2969
NN,0.2623,0.2001,0.2169,0.2394,0.1968,0.2001,0.2527,0.3047,0.1968,0.2324,0.2527,0.3047,0.246,0.2476,0.1957,0.2479,0.2679,0.2331,0.1326,0.1827,0.2143,0.2331,0.189,0.304,0.2296,0.1863,0.1955,0.2334,0.1786,0.192,0.2106,0.2969,0.1667,0.1882,0.2106,0.2969
NN,0.9835,0.8999,0.9276,0.5641,0.836,0.7727,0.7157,0.4375,0.7049,0.7474,0.5684,0.4063,0.9999,0.9603,0.8804,0.5983,0.8392,0.9125,0.8674,0.5043,0.7678,0.7766,0.7,0.464,0.8032,0.8235,0.7356,0.4833,0.8749,0.8484,0.7578,0.5234,0.9814,0.9801,0.8105,0.5781
NN,0.836,0.7727,0.7469,0.4103,0.7049,0.6909,0.5684,0.4063,0.7049,0.707,0.5684,0.3828,0.7704,0.9108,0.8152,0.5641,0.7678,0.7766,0.6867,0.3913,0.7678,0.699,0.6,0.4,0.8032,0.8235,0.793,0.5167,0.9642,0.9999,0.8105,0.5781,0.9814,0.9306,0.8105,0.5547
NN,0.7049,0.6909,0.5783,0.3761,0.7049,0.6545,0.5684,0.3828,0.7049,0.707,0.5684,0.4063,0.7049,0.7722,0.6521,0.453,0.7678,0.699,0.5783,0.3218,0.7678,0.699,0.6,0.4,0.8852,0.9705,0.8505,0.575,0.9642,0.9494,0.8105,0.5547,0.7407,0.7029,0.6105,0.4375
NN,0.7049,0.6545,0.5783,0.3505,0.7049,0.6545,0.5684,0.4063,0.5738,0.707,0.5684,0.4063,0.7049,0.693,0.5543,0.3846,0.7678,0.699,0.5783,0.3218,0.7678,0.7378,0.6,0.4,0.8852,0.9215,0.8505,0.55,0.7321,0.7171,0.6105,0.4375,0.7407,0.7029,0.6105,0.4063
NN,0.7049,0.6545,0.5783,0.3761,0.5738,0.6545,0.5684,0.4063,0.5738,0.707,0.6105,0.4375,0.7049,0.693,0.5543,0.3846,0.7678,0.7378,0.5783,0.3218,0.6785,0.7766,0.6555,0.464,0.6721,0.696,0.6322,0.425,0.7321,0.7171,0.6105,0.4063,0.7407,0.7029,0.5684,0.3828
NN,0.5738,0.6545,0.6265,0.4103,0.5738,0.6909,0.7157,0.4609,0.6393,0.7878,0.7157,0.4609,0.6229,0.7722,0.6087,0.453,0.6785,0.7766,0.6385,0.3913,0.6785,0.7766,0.7,0.464,0.6721,0.696,0.5862,0.3667,0.6607,0.7171,0.5684,0.4063,0.7407,0.7425,0.5684,0.4375
NN,0.5738,0.6909,0.7469,0.4359,0.6393,0.7272,0.7157,0.4609,0.6393,0.8383,0.7157,0.4609,0.6229,0.7722,0.6087,0.453,0.6785,0.7766,0.6867,0.3913,0.6785,0.7378,0.6,0.432,0.6065,0.696,0.5862,0.3917,0.7321,0.7575,0.5684,0.4375,0.7407,0.7425,0.6105,0.4375
NN,0.6393,0.7272,0.7469,0.4359,0.6393,0.7727,0.7157,0.4609,0.6393,0.7878,0.6631,0.4375,0.6229,0.7722,0.6521,0.453,0.6785,0.7378,0.5783,0.3566,0.6785,0.7378,0.6,0.4,0.6721,0.7352,0.5862,0.425,0.7321,0.7575,0.6105,0.4375,0.7407,0.7029,0.6105,0.4375
NN,0.6393,0.7727,0.7469,0.4359,0.6393,0.7272,0.6631,0.4375,0.6393,0.6666,0.5263,0.3828,0.6229,0.7326,0.5543,0.4188,0.6785,0.7378,0.5783,0.3218,0.6785,0.6602,0.5555,0.4,0.6721,0.7352,0.6322,0.425,0.7321,0.7171,0.6105,0.4375,0.6666,0.6633,0.4842,0.3828
NN,0.6393,0.5818,0.5301,0.3505,0.6393,0.5818,0.5263,0.3516,0.6393,0.6666,0.5684,0.3516,0.6229,0.6534,0.5109,0.3505,0.6071,0.6602,0.5301,0.3218,0.6071,0.6213,0.5111,0.368,0.541,0.6078,0.4483,0.3,0.6607,0.6262,0.4842,0.3516,0.5926,0.5742,0.4421,0.3203
NN,0.5738,0.5818,0.5783,0.3163,0.5738,0.6182,0.5263,0.3828,0.5738,0.6262,0.5263,0.3516,0.5574,0.6138,0.4674,0.3163,0.6785,0.5825,0.4458,0.2522,0.6785,0.5825,0.4778,0.304,0.541,0.5686,0.4023,0.3,0.6607,0.5858,0.3579,0.3203,0.5926,0.5742,0.4,0.2891
NN,0.5738,0.6182,0.5301,0.3505,0.5738,0.5818,0.5263,0.3516,0.5738,0.5858,0.5263,0.3516,0.6229,0.5742,0.4348,0.3163,0.6785,0.5825,0.4458,0.2174,0.6071,0.5825,0.5111,0.336,0.6065,0.5686,0.3564,0.3,0.5893,0.5858,0.4,0.2891,0.5926,0.5742,0.4421,0.3203
NN,0.5738,0.5818,0.5301,0.3163,0.5738,0.5454,0.5263,0.3516,0.5738,0.5858,0.4316,0.3516,0.6229,0.5742,0.4348,0.2821,0.6071,0.5825,0.4819,0.2522,0.6071,0.6213,0.5111,0.336,0.541,0.5686,0.4023,0.2667,0.5893,0.5858,0.4421,0.3203,0.6666,0.5742,0.4,0.2891
NN,0.4426,0.5091,0.3735,0.2565,0.4426,0.5091,0.3895,0.2969,0.4426,0.505,0.3895,0.2657,0.4918,0.4951,0.3479,0.2394,0.4643,0.466,0.3494,0.174,0.5357,0.466,0.3889,0.264,0.4754,0.5294,0.4023,0.3,0.5179,0.5454,0.3579,0.2891,0.4445,0.4951,0.3579,0.2657
NN,0.4426,0.5091,0.3735,0.2565,0.4426,0.4727,0.3895,0.2657,0.4426,0.505,0.3895,0.2969,0.4262,0.4555,0.3479,0.2394,0.5357,0.466,0.3494,0.174,0.4643,0.5049,0.3445,0.264,0.4754,0.5294,0.3564,0.2667,0.4464,0.505,0.3579,0.2657,0.4445,0.4951,0.4,0.2891
NN,0.4918,0.5091,0.3735,0.2565,0.4426,0.5091,0.3895,0.2969,0.4426,0.5454,0.3895,0.2969,0.4918,0.4951,0.3479,0.2394,0.5357,0.466,0.3012,0.2174,0.5357,0.466,0.3445,0.264,0.4754,0.4902,0.4023,0.2667,0.4464,0.4243,0.4,0.3203,0.3149,0.307,0.4842,0.4063
NN,0.4426,0.5091,0.3735,0.2565,0.4426,0.5091,0.3895,0.2969,0.4918,0.5454,0.3895,0.3203,0.4918,0.4555,0.3044,0.2821,0.5357,0.466,0.3012,0.174,0.4643,0.466,0.3889,0.336,0.4099,0.4118,0.4023,0.3,0.3215,0.3132,0.4842,0.4063,0.2593,0.1981,0.5684,0.5547
NN,0.5738,0.5818,0.4217,0.3163,0.5738,0.6182,0.5684,0.4063,0.7049,0.7474,0.5684,0.4375,0.4262,0.4555,0.4674,0.3846,0.6071,0.5437,0.4819,0.3566,0.6785,0.699,0.6,0.432,0.1312,0.1079,0.6781,0.6666,0.0894,0.0506,0.7578,0.75,0.1297,0.109,0.7052,0.664
NN,0.5738,0.6182,0.5783,0.3761,0.7049,0.6909,0.5684,0.4375,0.7049,0.7474,0.6105,0.4375,0.5574,0.5346,0.4674,0.4188,0.6785,0.699,0.5783,0.3566,0.7678,0.699,0.7,0.464,0.0821,0.0491,0.793,0.7583,0.1429,0.1112,0.7052,0.664,0.3889,0.3763,0.5684,0.4375
NN,0.7049,0.6909,0.5783,0.4103,0.7049,0.6909,0.6105,0.4375,0.7704,0.7878,0.7157,0.4609,0.6229,0.693,0.5543,0.4188,0.7678,0.699,0.6867,0.3913,0.7678,0.699,0.6555,0.464,0.1312,0.1079,0.7356,0.6666,0.3929,0.3839,0.5684,0.4375,0.7407,0.6633,0.5684,0.3828
NN,0.7704,0.7272,0.7469,0.4701,0.7704,0.7272,0.7157,0.4922,0.7704,0.8383,0.6631,0.4609,0.7049,0.7326,0.6087,0.4188,0.8392,0.7766,0.6867,0.3913,0.8392,0.7766,0.6,0.464,0.7377,0.696,0.6322,0.425,0.8749,0.7575,0.6526,0.4375,0.8148,0.7425,0.6105,0.4375
NN,0.7704,0.7727,0.6867,0.4359,0.7704,0.6909,0.6631,0.4609,0.7704,0.7474,0.6105,0.4375,0.7704,0.7722,0.5543,0.453,0.8392,0.7766,0.6385,0.3566,0.7678,0.699,0.6555,0.432,0.7377,0.7352,0.6322,0.425,0.8035,0.7575,0.6105,0.4375,0.8148,0.7425,0.6105,0.4375
NN,0.7049,0.6545,0.6265,0.4103,0.7704,0.6545,0.5684,0.4375,0.7704,0.7474,0.6631,0.4609,0.7704,0.7326,0.6087,0.453,0.8392,0.7378,0.6385,0.3913,0.7678,0.7378,0.7,0.464,0.7377,0.696,0.6322,0.425,0.8749,0.7575,0.6526,0.4688,0.8888,0.7425,0.6526,0.4375
NN,0.7704,0.6545,0.5783,0.4103,0.7704,0.6909,0.6631,0.4609,0.7704,0.8383,0.7157,0.4922,0.7704,0.7326,0.6087,0.453,0.7678,0.7378,0.6867,0.3913,0.8392,0.8155,0.7,0.504,0.8032,0.7352,0.6781,0.4583,0.8749,0.7575,0.6526,0.4375,0.8888,0.792,0.6526,0.4375
NN,0.7704,0.6909,0.6867,0.4359,0.7704,0.7727,0.7157,0.4922,0.7704,0.8383,0.7578,0.4609,0.7049,0.7326,0.6521,0.453,0.8392,0.8155,0.6867,0.4348,0.9285,0.7766,0.6555,0.504,0.8032,0.7352,0.6781,0.425,0.8749,0.808,0.6526,0.4375,0.8888,0.792,0.7052,0.4688
NN,0.7704,0.7727,0.7469,0.4701,0.7704,0.7727,0.7578,0.4609,0.836,0.8383,0.821,0.4922,0.7704,0.8118,0.6521,0.4957,0.9285,0.7766,0.6385,0.4348,0.9285,0.8155,0.7,0.504,0.8032,0.7843,0.6781,0.425,0.8749,0.808,0.7052,0.4688,0.8888,0.792,0.6526,0.4688
NN,0.7704,0.7727,0.7951,0.4359,0.836,0.7727,0.821,0.4922,0.836,0.8383,0.7157,0.5234,0.8524,0.7722,0.6087,0.4957,0.9285,0.8155,0.6867,0.4348,0.9285,0.864,0.7555,0.504,0.8032,0.7843,0.7356,0.4583,0.8749,0.808,0.6526,0.4688,0.8888,0.792,0.6526,0.4688
NN,0.836,0.7727,0.8674,0.4701,0.836,0.7727,0.7157,0.5234,0.836,0.8383,0.6631,0.4609,0.8524,0.8118,0.6521,0.4957,0.9285,0.864,0.7469,0.4348,0.8392,0.8155,0.7555,0.504,0.8032,0.7843,0.6781,0.4583,0.8749,0.808,0.6526,0.4688,0.8888,0.7425,0.7052,0.4922
NN,0.836,0.7727,0.7469,0.5043,0.836,0.7727,0.6631,0.4609,0.7704,0.7474,0.6631,0.4375,0.8524,0.8613,0.7065,0.4957,0.8392,0.8155,0.7469,0.4348,0.9285,0.7766,0.7,0.464,0.8032,0.7843,0.6781,0.4583,0.8749,0.7575,0.7052,0.4922,0.8888,0.792,0.6526,0.4688
NN,0.836,0.7727,0.6867,0.4359,0.7704,0.6909,0.6631,0.4375,0.9179,0.7878,0.6631,0.4609,0.7704,0.8118,0.7065,0.4957,0.9285,0.7766,0.6867,0.3913,0.9285,0.7766,0.7,0.464,0.8032,0.7352,0.7356,0.4833,0.8749,0.808,0.6526,0.4688,0.8888,0.792,0.6526,0.4688
NN,0.7704,0.6909,0.6867,0.4103,0.9179,0.7272,0.6631,0.4609,0.836,0.8383,0.7157,0.4922,0.8524,0.7722,0.6521,0.453,0.9285,0.7766,0.6867,0.3913,0.9285,0.7766,0.6555,0.464,0.8032,0.7843,0.6781,0.4583,0.8749,0.808,0.6526,0.4688,0.8888,0.7425,0.6526,0.4375
