Target,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18
NN,0.2827,0.2693,0.3056,0.1573,0.1649,0.0944,0.2484,0.5428,0.1667,0.2143,0.1843,0.1751,0.4025,0.3027,0.091,0.0733,0.1334,0.1334
NN,0.6739,0.7307,0.75,0.4542,0.2088,0.0567,0.6274,0.1429,0.5833,0.6143,0.5105,0.5779,0.6855,0.2237,0.5,0.0976,0.5667,0.3334
NN,0.3479,0.4231,0.3889,0.0394,0.0331,0.0944,0.2484,0.5428,0.1667,0.4143,0.2158,0.1727,0.5031,0.3816,0.2728,0.122,0.1001,0.0334
NN,0.3044,0.5,0.4306,0.2402,0.2088,0.0756,0.255,0.5143,0.1667,0.4,0.2369,0.1907,0.5031,0.1843,0.091,0.0001,0.3334,0.3
NN,0.5652,0.6923,0.7222,0.4323,0.1979,0.0567,0.634,0.1429,0.5833,0.5857,0.5368,0.5839,0.6603,0.25,0.2273,0.2683,0.5,0.2667
NN,0.4565,0.1155,0.3889,0.1005,0.077,0.0944,0.0981,0.7428,0.0834,0.2001,0.1317,0.0696,0.0441,0.0922,0.0455,0.0489,0.6333,0.5
NN,0.1305,0.2693,0.5555,0.1267,0.088,0.0944,0.2288,0.6,0.1667,0.2429,0.2211,0.1523,0.2202,0.2237,0.3637,0.7317,0.1667,0.4
NN,0.3479,0.2693,0.5,0.3668,0.3187,0.0944,0.2484,0.5143,0.1667,0.2572,0.2316,0.1895,0.2453,0.1711,0.1364,0.1952,0.5667,0.5333
NN,0.8043,0.9614,0.9166,0.3319,0.044,0.0756,0.9738,0.0001,0.9166,0.7571,0.7789,0.9759,0.9307,0.3158,0.4091,0.3171,0.1667,0.0334
NN,0.3479,0.3077,0.6111,0.1616,0.121,0.1321,0.2419,0.5428,0.1667,0.3857,0.2211,0.1751,0.3334,0.1711,0.1819,0.439,0.4,0.6333
NN,0.2827,0.1539,0.2778,0.0481,0.077,0.0567,0.0458,0.8571,0.0001,0.2001,0.058,0.0301,0.1259,0.1711,0.091,0.1952,0.3334,0.3
NN,0.3913,0.3462,0.6111,0.4585,0.3077,0.0756,0.3856,0.3429,0.25,0.2858,0.3106,0.3142,0.3271,0.1317,0.1364,0.2927,0.6666,0.6666
NN,0.1522,0.1539,0.2362,0.0525,0.088,0.0756,0.0851,0.7999,0.0834,0.1001,0.0632,0.054,0.1447,0.2895,0.3637,0.122,0.0668,0.1001
NN,0.6739,0.8461,0.9305,0.5153,0.2308,0.1699,0.6928,0.1429,0.5833,0.7857,0.5368,0.6223,0.7547,0.158,0.1364,0.244,0.4,0.6
NN,0.4565,0.1924,0.6111,0.2359,0.088,0.1321,0.3726,0.3715,0.25,0.1715,0.3474,0.295,0.2894,0.1317,0.4091,0.3659,0.4667,0.4667
NN,0.6739,0.7307,0.8333,0.3799,0.1319,0.1321,0.5555,0.2001,0.5,0.5714,0.4632,0.4784,0.7861,0.1448,0.4546,0.244,0.5,0.5667
NN,0.4565,0.5769,0.6527,0.2533,0.1869,0.151,0.2942,0.4857,0.25,0.6143,0.2579,0.2147,0.4843,0.2106,0.1819,0.3659,0.2667,0.4667
NN,0.2392,0.4615,0.3611,0.2184,0.1979,0.0756,0.2157,0.5714,0.1667,0.3715,0.2001,0.1535,0.4277,0.1843,0.091,0.0733,0.2667,0.2334
NN,0.5217,0.6538,0.9444,0.4673,0.1979,0.151,0.6666,0.1429,0.5833,0.5428,0.5368,0.5983,0.6855,0.1711,0.3182,0.7073,0.4,0.5333
NN,0.3479,0.3462,0.5555,0.2053,0.1649,0.0756,0.2092,0.5714,0.1667,0.3,0.1895,0.1488,0.3837,0.1974,0.7727,0.3171,0.3,0.2667
NN,0.2827,0.3846,0.3889,0.2097,0.1649,0.0944,0.2484,0.5143,0.1667,0.3429,0.2579,0.1835,0.3459,0.2106,0.1819,0.2196,0.4,0.3667
NN,0.4783,0.5,0.9027,0.5022,0.2308,0.1321,0.5817,0.2001,0.5,0.4286,0.4895,0.5012,0.5786,0.1317,0.2273,0.9267,0.5,0.7
NN,0.3044,0.4231,0.3473,0.0874,0.099,0.0756,0.2419,0.5714,0.1667,0.3715,0.2106,0.1643,0.39,0.3684,0.1819,0.2927,0.1001,0.0334
NN,0.1957,0.4615,0.3611,0.6463,0.8681,0.9433,0.2353,0.5428,0.1667,0.3715,0.5631,0.1703,0.478,0.7894,0.0455,0.0245,0.1667,0.1334
NN,0.4783,0.3462,0.625,0.3057,0.2088,0.1321,0.268,0.5143,0.1667,0.3715,0.2001,0.1955,0.2579,0.079,0.5,0.122,0.6666,0.7666
NN,0.4565,0.3462,0.3889,0.2009,0.1869,0.0944,0.1047,0.7428,0.0834,0.3572,0.1264,0.0744,0.3145,0.1317,0.6363,0.122,0.5333,0.5
NN,0.4131,0.1924,0.2778,0.1136,0.1649,0.0567,0.0132,0.9142,0.0001,0.2001,0.0264,0.0121,0.1762,0.1711,0.6363,0.122,0.4667,0.4333
NN,0.6304,0.4615,0.5972,0.4105,0.1979,0.0567,0.5359,0.2001,0.4167,0.4,0.5,0.47,0.3648,0.2632,0.0001,0.6585,0.5667,0.3334
NN,0.7608,0.7692,0.8749,0.428,0.1869,0.151,0.7058,0.1144,0.6666,0.7142,0.4947,0.6319,0.6603,0.1843,0.5,0.244,0.4,0.6
NN,0.5652,0.5,0.9027,0.4585,0.1869,0.1699,0.5555,0.2286,0.5,0.4857,0.4316,0.4688,0.3145,0.079,0.0001,0.8048,0.6,0.7999
NN,0.2609,0.2308,0.5139,0.2053,0.1319,0.1133,0.2484,0.5428,0.1667,0.2286,0.2422,0.1763,0.151,0.1843,0.0001,0.3903,0.2667,0.4
NN,0.1522,0.4231,0.3889,0.1354,0.1319,0.1133,0.2484,0.5428,0.1667,0.3857,0.2106,0.1739,0.4025,0.2764,0.3182,0.2927,0.1334,0.1334
NN,0.5652,0.5769,0.5417,0.4149,0.2308,0.0756,0.4771,0.2572,0.4167,0.5,0.379,0.4077,0.39,0.1974,0.2273,0.1952,0.6333,0.4667
NN,0.3479,0.2693,0.5139,0.2402,0.1979,0.1321,0.2092,0.5714,0.1667,0.3286,0.2001,0.1559,0.2139,0.1448,0.0001,0.122,0.4667,0.6333
NN,0.4565,0.5769,0.5972,0.2533,0.1869,0.151,0.2876,0.4857,0.1667,0.5,0.2474,0.2075,0.4906,0.1974,0.1819,0.3415,0.3,0.5
NN,0.087,0.1924,0.4861,0.1747,0.1319,0.0756,0.2288,0.5714,0.1667,0.2001,0.1948,0.1571,0.1699,0.2764,0.7272,0.4878,0.1667,0.2001
NN,0.3261,0.077,0.139,0.0743,0.121,0.0567,0.0132,0.9428,0.0001,0.0572,0.0106,0.0097,0.1825,0.1974,0.9545,0.0976,0.2001,0.2001
NN,0.4348,0.3846,0.625,0.1267,0.077,0.151,0.2811,0.5143,0.1667,0.5,0.2316,0.2003,0.3522,0.2106,0.5454,0.3171,0.2667,0.5
NN,0.4783,0.5385,0.6666,0.2533,0.1869,0.1699,0.3072,0.4857,0.25,0.5571,0.2422,0.2243,0.478,0.158,0.5454,0.3171,0.4333,0.5667
NN,0.5869,0.4615,0.8333,0.4585,0.1979,0.1133,0.5817,0.1715,0.5,0.4143,0.5316,0.512,0.5031,0.1711,0.2273,0.122,0.4333,0.4667
NN,0.7826,0.7692,0.9582,0.5109,0.2418,0.1887,0.7124,0.1429,0.6666,0.7285,0.5053,0.6331,0.6478,0.1711,0.5909,0.6829,0.4,0.6666
NN,0.2609,0.3846,0.3334,0.1049,0.099,0.1133,0.2484,0.5714,0.1667,0.3715,0.2001,0.1679,0.4025,0.3027,0.4091,0.3415,0.1334,0.1001
NN,0.4348,0.6154,0.5417,0.3319,0.1979,0.0944,0.3987,0.3143,0.3334,0.5714,0.3106,0.3346,0.5346,0.1448,0.2273,0.244,0.7,0.7
NN,0.3479,0.1539,0.1945,0.0656,0.066,0.0567,0.1439,0.6857,0.0834,0.1286,0.1106,0.0984,0.2328,0.2632,0.7272,0.3415,0.2667,0.1334
NN,0.3696,0.5769,0.5278,0.166,0.1319,0.1699,0.3138,0.4857,0.25,0.6,0.2264,0.2231,0.478,0.2237,0.4546,0.2683,0.2334,0.3667
NN,0.4131,0.2693,0.5833,0.2577,0.1759,0.1321,0.2223,0.5428,0.1667,0.3143,0.1843,0.1619,0.1762,0.0659,0.4091,0.0001,0.7666,0.8333
NN,0.3696,0.1155,0.2362,0.1136,0.11,0.0756,0.0589,0.8571,0.0001,0.1286,0.0369,0.0385,0.1447,0.1185,0.9999,0.561,0.4667,0.4667
NN,0.2609,0.4615,0.4306,0.2009,0.1759,0.1133,0.2027,0.5714,0.1667,0.4143,0.2158,0.1476,0.4403,0.1711,0.091,0.0733,0.3667,0.5
NN,0.3696,0.5,0.5555,0.1704,0.1649,0.1699,0.3072,0.4857,0.25,0.5428,0.2053,0.2183,0.4843,0.1974,0.7727,0.1708,0.3,0.4
NN,0.3479,0.3462,0.4167,0.1922,0.1649,0.0944,0.2288,0.5428,0.1667,0.3572,0.2422,0.1667,0.2768,0.2237,0.091,0.1464,0.3334,0.2667
NN,0.2609,0.3077,0.3611,0.2228,0.1979,0.3774,0.2419,0.5428,0.1667,0.3,0.2264,0.1751,0.2894,0.2106,0.2728,0.3903,0.2667,0.3334
NN,0.5217,0.4615,0.6666,0.3013,0.2198,0.151,0.2942,0.4857,0.25,0.5571,0.2264,0.2171,0.3019,0.1053,0.3637,0.2927,0.5333,0.6333
NN,0.5869,0.5769,0.7638,0.4585,0.2308,0.0944,0.5686,0.1715,0.5,0.4572,0.4526,0.5048,0.5723,0.1843,0.3182,0.2683,0.5333,0.4333
NN,0.5869,0.5,0.8888,0.3494,0.1429,0.1321,0.5555,0.2286,0.5,0.4143,0.4842,0.4724,0.5597,0.1843,0.5909,0.3171,0.4333,0.5333
NN,0.2827,0.1155,0.5139,0.2664,0.1429,0.0944,0.2484,0.5428,0.1667,0.1429,0.2316,0.1763,0.1384,0.0922,0.0001,0.7804,0.6666,0.7333
NN,0.5217,0.3462,0.8472,0.3581,0.1319,0.1321,0.4837,0.2858,0.4167,0.2858,0.4105,0.3921,0.3711,0.1053,0.3182,0.9999,0.6,0.8333
NN,0.5435,0.2308,0.3889,0.0743,0.0221,0.0944,0.1439,0.7142,0.0834,0.3429,0.179,0.0924,0.1573,0.2106,0.1819,0.0245,0.3334,0.1667
NN,0.6304,0.8076,0.8333,0.2577,0.066,0.151,0.6601,0.1429,0.5833,0.7857,0.4684,0.5815,0.5786,0.2237,0.5454,0.6585,0.3667,0.4667
NN,0.3479,0.5385,0.5972,0.9519,0.945,0.8679,0.3007,0.4857,0.25,0.6428,0.521,0.2159,0.4214,0.5,0.0001,0.3415,0.2667,0.4333
NN,0.2827,0.5769,0.4861,0.1398,0.121,0.151,0.3203,0.4857,0.25,0.6428,0.2106,0.2243,0.478,0.2106,0.1364,0.0245,0.2334,0.3667
NN,0.3044,0.3462,0.3334,0.2009,0.1869,0.151,0.1373,0.6857,0.0834,0.3429,0.1422,0.096,0.3145,0.1053,0.3182,0.0245,0.5667,0.6666
NN,0.3261,0.1539,0.3195,0.1136,0.121,0.0567,0.0851,0.7999,0.0834,0.1715,0.058,0.0552,0.2265,0.1974,0.6363,0.4878,0.2667,0.2334
NN,0.3913,0.3462,0.5555,0.2533,0.2088,0.1133,0.2353,0.5143,0.1667,0.3857,0.2158,0.1763,0.239,0.1448,0.1364,0.122,0.4333,0.6
NN,0.3696,0.1539,0.5555,0.2926,0.121,0.1321,0.2942,0.4572,0.25,0.2001,0.2211,0.2267,0.0378,0.0133,0.1364,0.439,0.8333,0.9332
NN,0.174,0.3462,0.3195,0.0918,0.088,0.1133,0.2419,0.5714,0.1667,0.3857,0.1895,0.1631,0.3962,0.3553,0.3182,0.1708,0.1001,0.0334
NN,0.7173,0.6154,0.9305,0.393,0.11,0.1699,0.6666,0.1429,0.5833,0.6143,0.4947,0.5827,0.3962,0.1053,0.0001,0.9511,0.5333,0.8333
NN,0.1522,0.3846,0.3889,0.07,0.077,0.1133,0.2484,0.5428,0.1667,0.3857,0.2158,0.1739,0.4214,0.3421,0.1819,0.1952,0.1001,0.0668
NN,0.4783,0.4615,0.5555,0.3581,0.1649,0.0944,0.3399,0.4,0.25,0.3857,0.3053,0.2662,0.434,0.079,0.5,0.439,0.7666,0.7666
NN,0.6521,0.8076,0.9305,0.4978,0.1869,0.1887,0.7189,0.1144,0.6666,0.7999,0.479,0.6522,0.566,0.1053,0.0001,0.439,0.4333,0.6333
NN,0.5869,0.5,0.625,0.2621,0.1869,0.1699,0.3334,0.4572,0.25,0.6428,0.2422,0.2435,0.3837,0.158,0.8181,0.0001,0.4333,0.5
NN,0.3913,0.2693,0.5,0.2926,0.2198,0.0944,0.2419,0.5143,0.1667,0.2429,0.2053,0.1775,0.2202,0.1185,0.1819,0.4147,0.5333,0.6333
NN,0.3696,0.3846,0.4445,0.297,0.1319,0.1133,0.2746,0.4572,0.1667,0.3715,0.2316,0.2111,0.3082,0.0264,0.6818,0.2196,0.8999,0.9332
NN,0.4348,0.1155,0.3334,0.2664,0.2418,0.1133,0.1569,0.6571,0.0834,0.2572,0.1632,0.114,0.1133,0.1053,0.091,0.7073,0.5667,0.7666
NN,0.6739,0.6538,0.7777,0.4673,0.1979,0.151,0.4902,0.2572,0.4167,0.5428,0.4053,0.4113,0.5409,0.079,0.1364,0.1708,0.6333,0.8333
NN,0.4565,0.4231,0.6111,0.4891,0.2967,0.0756,0.4706,0.2572,0.4167,0.3857,0.4105,0.4089,0.2831,0.1843,0.1819,0.5366,0.6666,0.5333
