Target,Pulse1,Pulse3,Pulse4,Pulse5,Pulse6,Pulse7,Pulse8,Pulse9,Pulse10,Pulse11,Pulse12,Pulse13,Pulse14,Pulse15,Pulse16,Pulse17,Pulse18,Pulse19,Pulse20,Pulse21,Pulse22,Pulse23,Pulse24,Pulse25,Pulse26,Pulse27,Pulse28,Pulse29,Pulse30,Pulse31,Pulse32,Pulse33,Pulse34
NN,0.9999,0.9999,0.2291,0.9999,0.0001,0.9999,0.0001,0.9999,0.681,0.9999,0.2945,0.9999,0.9999,0.9999,0.0001,0.9999,0.353,0.9999,0.0321,0.9999,0.9999,0.9999,0.9999,0.9999,0.2955,0.9999,0.1866,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001
NN,0.9999,0.9999,0.4185,0.9999,0.449,0.9999,0.424,0.9999,0.4035,0.9704,0.324,0.9784,0.351,0.9684,0.328,0.9724,0.3595,0.9504,0.283,0.9299,0.2635,0.9149,0.2441,0.9204,0.2645,0.8809,0.2081,0.8284,0.1561,0.8434,0.1776,0.8234,0.1641
NN,0.9999,0.9999,0.0666,0.9999,0.6115,0.9274,0.3005,0.9999,0.4395,0.9999,0.6755,0.9999,0.539,0.9999,0.426,0.9999,0.0001,0.9999,0.0001,0.8089,0.579,0.9999,0.8114,0.9999,0.415,0.9999,0.6795,0.9999,0.1676,0.9999,0.9419,0.9999,0.406
NN,0.9999,0.9999,0.537,0.9999,0.517,0.9999,0.472,0.9999,0.544,0.9999,0.5985,0.9999,0.6015,0.9999,0.564,0.9999,0.553,0.9999,0.6355,0.9999,0.724,0.9999,0.709,0.9999,0.6,0.9999,0.6835,0.9779,0.743,0.9999,0.6625,0.9999,0.7335
NN,0.9999,0.7544,0.0301,0.9999,0.6335,0.4825,0.0001,0.9999,0.0001,0.7185,0.0001,0.5,0.5,0.0001,0.3285,0.3115,0.518,0.9999,0.0001,0.5,0.5,0.5,0.5,0.4185,0.9609,0.699,0.6325,0.5,0.5,0.9999,0.616,0.5,0.5
NN,0.0001,0.5,0.5,0.0001,0.0001,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.9999,0.0001,0.0001,0.0001,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.0001,0.9999,0.0001
NN,0.9999,0.8354,0.5125,0.8329,0.525,0.7859,0.594,0.544,0.6705,0.8179,0.5605,0.8104,0.5715,0.8929,0.555,0.7919,0.591,0.572,0.706,0.7694,0.6065,0.7569,0.613,0.744,0.6185,0.731,0.623,0.717,0.6265,0.7035,0.629,0.9999,0.665
NN,0.0001,0.9999,0.0001,0.5,0.5,0.5,0.5,0.9999,0.9999,0.9999,0.0001,0.1406,0.9999,0.5,0.5,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.7809,0.0001,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999
NN,0.9999,0.9999,0.497,0.9999,0.451,0.9999,0.462,0.9999,0.447,0.9999,0.4445,0.9999,0.3025,0.9999,0.422,0.9604,0.3405,0.9324,0.3275,0.9584,0.2795,0.9804,0.2655,0.9094,0.298,0.9134,0.289,0.8789,0.309,0.9019,0.297,0.8719,0.275
NN,0.0001,0.9999,0.9999,0.5,0.5,0.5,0.5,0.0001,0.0001,0.5,0.5,0.5,0.5,0.0001,0.0001,0.0001,0.0001,0.0001,0.9999,0.0001,0.9999,0.5,0.5,0.5,0.5,0.9999,0.0001,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999
NN,0.0001,0.0001,0.9999,0.5,0.5,0.5,0.5,0.0001,0.9999,0.9999,0.9999,0.5,0.5,0.5,0.5,0.9999,0.0001,0.0001,0.9999,0.9999,0.9999,0.5,0.5,0.0001,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.5,0.5
NN,0.9999,0.9999,0.469,0.9999,0.5145,0.9999,0.4745,0.9999,0.4915,0.9999,0.4415,0.9224,0.474,0.9669,0.467,0.8459,0.463,0.8284,0.398,0.9744,0.342,0.9044,0.3415,0.9244,0.326,0.8624,0.354,0.8654,0.307,0.7719,0.3685,0.8209,0.3025
NN,0.9999,0.9999,0.4565,0.9999,0.4135,0.9329,0.0911,0.9739,0.8054,0.9774,0.293,0.9424,0.3415,0.9394,0.383,0.9054,0.1891,0.561,0.0001,0.9514,0.5555,0.8119,0.1076,0.7769,0.0856,0.7405,0.0671,0.703,0.0516,0.665,0.0396,0.4335,0.0001
NN,0.9999,0.9999,0.542,0.9999,0.587,0.9999,0.4335,0.9909,0.8224,0.9999,0.7395,0.9999,0.7954,0.9999,0.8539,0.9999,0.9139,0.9999,0.9754,0.9999,0.9999,0.9899,0.9999,0.9579,0.9999,0.9194,0.9999,0.8739,0.9999,0.8219,0.9999,0.7624,0.9999
NN,0.0001,0.0001,0.0001,0.9999,0.9999,0.9999,0.0001,0.0001,0.9999,0.9999,0.0001,0.0001,0.0001,0.5,0.5,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.0001,0.0001,0.9999,0.9999,0.0001
NN,0.9999,0.9999,0.429,0.9999,0.4185,0.9999,0.3815,0.9999,0.4625,0.9999,0.375,0.9999,0.369,0.9999,0.39,0.9999,0.307,0.9999,0.269,0.9999,0.3225,0.9999,0.2016,0.9999,0.262,0.9939,0.2515,0.9999,0.1211,0.9999,0.1211,0.9999,0.0781
NN,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.491,0.9999,0.0001,0.9999,0.9999,0.9999,0.0721,0.9999,0.9999,0.9999,0.0001,0.5,0.5,0.9999,0.9999,0.9999,0.1046,0.9999,0.9999,0.9999,0.9999
NN,0.9999,0.9409,0.427,0.9669,0.4445,0.9604,0.418,0.9414,0.415,0.9424,0.341,0.9264,0.3425,0.9104,0.3205,0.9034,0.332,0.8759,0.265,0.8529,0.264,0.8309,0.2496,0.8064,0.2595,0.7839,0.2271,0.7509,0.2006,0.7355,0.2131,0.711,0.2096
NN,0.9999,0.8564,0.487,0.7065,0.3845,0.9899,0.4525,0.9984,0.449,0.9999,0.445,0.7949,0.9999,0.9184,0.0001,0.9114,0.4105,0.9039,0.3585,0.3705,0.9634,0.7594,0.5275,0.8274,0.398,0.9654,0.2935,0.8189,0.3905,0.9304,0.0631,0.384,0.0001
NN,0.9999,0.9999,0.4205,0.8614,0.6385,0.9169,0.2081,0.9999,0.359,0.9999,0.2505,0.8999,0.4375,0.8839,0.573,0.9999,0.6965,0.9999,0.633,0.9819,0.4905,0.9629,0.0436,0.9999,0.574,0.9999,0.442,0.9999,0.4445,0.9999,0.7669,0.9999,0.2111
NN,0.9999,0.8309,0.0001,0.9999,0.9999,0.9999,0.1636,0.9044,0.298,0.9999,0.0001,0.9999,0.0531,0.9999,0.8669,0.588,0.8549,0.9999,0.8899,0.9999,0.9264,0.9999,0.0001,0.9999,0.9269,0.9999,0.457,0.9799,0.319,0.9999,0.8264,0.9999,0.6735
NN,0.9999,0.9999,0.502,0.9999,0.494,0.9999,0.485,0.9999,0.465,0.9889,0.4685,0.9999,0.4675,0.9864,0.4605,0.9629,0.4315,0.9709,0.4285,0.9979,0.429,0.9739,0.432,0.9474,0.3955,0.9454,0.4105,0.9279,0.407,0.9189,0.3995,0.9194,0.396
NN,0.0001,0.9999,0.9999,0.9999,0.0001,0.5,0.5,0.5,0.5,0.0001,0.0001,0.5,0.5,0.5,0.5,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.5,0.5
NN,0.9999,0.9559,0.5215,0.9709,0.5115,0.9734,0.5265,0.9679,0.5065,0.9594,0.5315,0.9639,0.5605,0.9599,0.531,0.9444,0.5635,0.9184,0.572,0.9049,0.559,0.8849,0.571,0.8789,0.5565,0.8679,0.5665,0.8319,0.5765,0.8544,0.554,0.8264,0.557
NN,0.9999,0.9999,0.5125,0.9984,0.5245,0.9874,0.5355,0.8084,0.0001,0.9549,0.5555,0.9424,0.7679,0.9104,0.5705,0.8844,0.576,0.9999,0.705,0.8289,0.582,0.8004,0.5825,0.7719,0.582,0.7445,0.58,0.7175,0.577,0.692,0.5735,0.9999,0.9999
NN,0.9999,0.0001,0.0001,0.9999,0.9999,0.9999,0.428,0.5,0.5,0.0001,0.9999,0.9999,0.9999,0.5895,0.0001,0.0001,0.0001,0.544,0.0001,0.9999,0.0001,0.0001,0.9999,0.0001,0.0001,0.9999,0.0001,0.0001,0.0001,0.9999,0.9999,0.5,0.5
NN,0.9999,0.9544,0.544,0.9324,0.5845,0.9999,0.583,0.7759,0.8409,0.8509,0.6835,0.5815,0.7135,0.7879,0.7305,0.7554,0.748,0.658,0.565,0.689,0.7724,0.6565,0.7789,0.6245,0.7824,0.593,0.7829,0.563,0.7804,0.5345,0.7754,0.5605,0.8384
NN,0.9999,0.9949,0.471,0.9989,0.435,0.9934,0.403,0.9969,0.371,0.9634,0.3495,0.9634,0.31,0.9489,0.281,0.9244,0.2396,0.9369,0.2146,0.8949,0.2011,0.8734,0.1771,0.8414,0.1576,0.8259,0.1341,0.8049,0.1231,0.7739,0.0986,0.746,0.0841
NN,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.9999,0.9999,0.9999,0.9999,0.5,0.5,0.5,0.5,0.3125,0.0001,0.0001,0.0001,0.5,0.5,0.5,0.5,0.0001,0.0001,0.0001,0.0001,0.0001,0.9999,0.9999,0.5,0.5,0.5
NN,0.9999,0.9999,0.4815,0.9999,0.463,0.9979,0.445,0.9989,0.4505,0.9944,0.431,0.9834,0.3915,0.9764,0.3745,0.9559,0.328,0.9529,0.339,0.9499,0.3265,0.9394,0.312,0.9309,0.285,0.9159,0.2845,0.9069,0.287,0.8894,0.26,0.8754,0.2491
NN,0.9999,0.9729,0.4865,0.0001,0.6305,0.318,0.678,0.8464,0.1831,0.9999,0.483,0.355,0.497,0.2256,0.5775,0.9594,0.2685,0.9999,0.2481,0.3515,0.3425,0.1306,0.687,0.9194,0.2665,0.7609,0.2096,0.9999,0.1931,0.452,0.6025,0.4695,0.7095
NN,0.9999,0.9909,0.5045,0.9904,0.481,0.9879,0.4715,0.9794,0.465,0.9949,0.4775,0.9734,0.4445,0.9669,0.436,0.9709,0.442,0.8984,0.404,0.9414,0.413,0.9314,0.4065,0.9424,0.4015,0.9089,0.3945,0.8924,0.3805,0.8844,0.3845,0.8714,0.3805
NN,0.9999,0.5,0.5,0.9999,0.7584,0.5,0.5,0.555,0.0001,0.5,0.5,0.5,0.5,0.0001,0.388,0.2216,0.0836,0.8844,0.8154,0.5,0.5,0.7669,0.6785,0.0486,0.724,0.9999,0.0001,0.0001,0.9079,0.5,0.5,0.5,0.5
NN,0.9999,0.9204,0.408,0.718,0.5145,0.9669,0.4985,0.9394,0.569,0.9054,0.491,0.9429,0.7749,0.9584,0.2126,0.8749,0.3525,0.9334,0.3995,0.9999,0.9999,0.733,0.4185,0.9504,0.486,0.9669,0.494,0.8079,0.3385,0.9224,0.3715,0.9664,0.493
NN,0.0001,0.9999,0.9999,0.9999,0.0001,0.5,0.5,0.5,0.5,0.9999,0.9999,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.0001,0.9999,0.5,0.5,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.0001,0.5,0.5,0.5,0.5
NN,0.9999,0.9999,0.9999,0.9999,0.9999,0.9549,0.9999,0.365,0.9999,0.0841,0.9999,0.0001,0.9999,0.0001,0.8624,0.0001,0.2111,0.0001,0.2895,0.0001,0.0001,0.2361,0.0001,0.9499,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.3265,0.9999,0.674
NN,0.9999,0.1606,0.0001,0.0001,0.9999,0.9999,0.8164,0.5175,0.0001,0.0001,0.0001,0.9999,0.9999,0.9434,0.0001,0.0001,0.9999,0.9189,0.9999,0.9999,0.0001,0.0001,0.0001,0.4055,0.9999,0.9999,0.0001,0.0001,0.0001,0.0001,0.9999,0.9999,0.668
NN,0.9999,0.9784,0.5405,0.9874,0.4715,0.9859,0.4575,0.9804,0.467,0.9734,0.5065,0.9769,0.416,0.9729,0.4025,0.9979,0.3385,0.9514,0.3205,0.9569,0.3635,0.9504,0.351,0.9994,0.2965,0.9359,0.327,0.9604,0.347,0.9199,0.3045,0.9109,0.294
NN,0.9999,0.5415,0.3965,0.0001,0.9999,0.0001,0.9999,0.8594,0.736,0.0896,0.1866,0.0001,0.0001,0.0001,0.9999,0.486,0.7959,0.2895,0.2895,0.1271,0.0001,0.0001,0.266,0.0001,0.619,0.9999,0.0001,0.0001,0.3055,0.0001,0.0001,0.0001,0.8074
NN,0.9999,0.9999,0.4885,0.9999,0.4775,0.9999,0.4665,0.9999,0.456,0.9999,0.7809,0.9999,0.4365,0.9999,0.4275,0.9999,0.662,0.9999,0.412,0.9974,0.4055,0.9779,0.3995,0.9999,0.0386,0.9364,0.391,0.9144,0.388,0.8924,0.386,0.8699,0.385
NN,0.0001,0.0001,0.9999,0.9999,0.0001,0.0001,0.9999,0.5,0.5,0.9999,0.9999,0.0001,0.406,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.0001,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.5,0.5,0.0001,0.0001
NN,0.9999,0.9999,0.529,0.9724,0.537,0.9999,0.566,0.9999,0.4905,0.9739,0.535,0.9784,0.573,0.9744,0.556,0.9544,0.6005,0.9834,0.5815,0.9984,0.5715,0.9539,0.582,0.9584,0.612,0.9419,0.618,0.9429,0.6125,0.8914,0.648,0.9179,0.656
NN,0.9999,0.586,0.0001,0.0001,0.9999,0.5,0.5,0.5,0.5,0.0001,0.9999,0.5,0.5,0.1931,0.1616,0.9024,0.6805,0.7599,0.572,0.5,0.5,0.0001,0.3645,0.0761,0.9809,0.9999,0.9999,0.0001,0.8384,0.5,0.5,0.5,0.5
NN,0.9999,0.5085,0.322,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5615,0.2251,0.614,0.9139,0.9999,0.2885,0.5,0.5,0.5415,0.0001,0.447,0.4165,0.9999,0.1166,0.0001,0.5945,0.5,0.5,0.9999,0.3635
NN,0.9999,0.8189,0.9999,0.604,0.0001,0.9999,0.9999,0.9384,0.6545,0.1656,0.9999,0.4705,0.7939,0.509,0.525,0.2426,0.0001,0.5715,0.4835,0.6635,0.2805,0.0001,0.9999,0.9044,0.0001,0.9999,0.4695,0.9999,0.9999,0.603,0.0001,0.9999,0.9999
NN,0.9999,0.9999,0.2925,0.9999,0.8804,0.9354,0.593,0.9999,0.4505,0.9689,0.74,0.8274,0.4195,0.9999,0.5045,0.9879,0.2496,0.8999,0.3775,0.9404,0.4045,0.9999,0.4385,0.9679,0.5535,0.9644,0.464,0.9999,0.363,0.72,0.599,0.7569,0.473
NN,0.9999,0.9239,0.553,0.9999,0.6955,0.9999,0.0001,0.8344,0.542,0.9999,0.635,0.9999,0.8029,0.9999,0.6775,0.9999,0.5135,0.7919,0.285,0.9999,0.8174,0.9454,0.633,0.9549,0.3335,0.9999,0.5795,0.6885,0.4905,0.9999,0.6125,0.9999,0.687
NN,0.9999,0.9999,0.64,0.9999,0.5125,0.9999,0.539,0.9999,0.5215,0.9939,0.6665,0.9999,0.5275,0.9999,0.522,0.9789,0.377,0.9219,0.4565,0.9999,0.521,0.9994,0.637,0.9999,0.3045,0.9819,0.489,0.9334,0.617,0.9729,0.39,0.9019,0.4635
NN,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.8279,0.5,0.5,0.9999,0.0001
NN,0.9999,0.9999,0.8389,0.9064,0.9099,0.715,0.9999,0.603,0.9024,0.2805,0.9999,0.1046,0.8854,0.0001,0.7015,0.305,0.2071,0.0106,0.286,0.1346,0.1186,0.3115,0.0126,0.707,0.0001,0.709,0.0336,0.629,0.0001,0.9679,0.324,0.9939,0.517
NN,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.75,0.5,0.5,0.9999,0.0001,0.9999,0.0001
NN,0.9999,0.9999,0.5175,0.9999,0.5915,0.9999,0.635,0.9999,0.6255,0.9999,0.644,0.9999,0.693,0.9999,0.6585,0.9999,0.8284,0.9999,0.7689,0.9999,0.8064,0.9999,0.7974,0.9479,0.8414,0.9474,0.8569,0.9279,0.8354,0.8719,0.9279,0.8574,0.8789
NN,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.5,0.5,0.5,0.5,0.0001,0.9999,0.9999,0.0001,0.9999,0.0001,0.1251,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.0001,0.0001,0.0001,0.5,0.5,0.9999,0.0001
NN,0.9999,0.8469,0.6945,0.5,0.5,0.3355,0.8489,0.5,0.5,0.5,0.5,0.5,0.5,0.603,0.379,0.605,0.597,0.732,0.8909,0.5,0.5,0.5,0.5,0.8669,0.637,0.8809,0.8174,0.5,0.5,0.5,0.5,0.5,0.5
NN,0.9999,0.9999,0.5255,0.9999,0.554,0.9999,0.5975,0.9999,0.6425,0.9999,0.674,0.9999,0.6915,0.9729,0.7145,0.9454,0.7519,0.8794,0.7939,0.9029,0.7999,0.8979,0.8139,0.8329,0.8194,0.7969,0.8469,0.7475,0.8634,0.735,0.8584,0.667,0.8759
NN,0.0001,0.9999,0.9999,0.5,0.5,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.0001,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.5,0.5,0.9999,0.0001
NN,0.9999,0.9999,0.5205,0.9999,0.56,0.9999,0.581,0.9999,0.6395,0.9934,0.6545,0.9634,0.688,0.9554,0.6985,0.9094,0.7305,0.8929,0.735,0.8969,0.7814,0.8514,0.7904,0.8354,0.7984,0.7944,0.8049,0.7699,0.8044,0.7265,0.8179,0.702,0.8134
NN,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.0001,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.0001,0.0001,0.0001,0.9999
NN,0.9999,0.9999,0.621,0.9999,0.743,0.9999,0.8649,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.8854,0.9999,0.9999,0.9999,0.9999,0.8724,0.9999,0.9479,0.9999,0.8229,0.9999,0.6915,0.9999,0.554,0.9999,0.413,0.9999,0.0931,0.9999
NN,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.0001,0.9999,0.5,0.5,0.9999,0.9999,0.5,0.5,0.5,0.5,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.0001,0.9999
NN,0.9999,0.9999,0.467,0.9999,0.8144,0.9999,0.548,0.9999,0.6015,0.9999,0.0001,0.9999,0.297,0.9999,0.4205,0.9999,0.5245,0.9999,0.1926,0.9999,0.367,0.9999,0.0001,0.9999,0.2101,0.9999,0.0931,0.9999,0.0001,0.9999,0.1071,0.9999,0.2585
NN,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.0001,0.9999,0.9999,0.9999,0.0001
NN,0.9999,0.9614,0.539,0.9634,0.5815,0.9484,0.623,0.9204,0.676,0.8939,0.711,0.8534,0.735,0.8539,0.7824,0.8024,0.8209,0.7559,0.8244,0.6995,0.8349,0.671,0.8414,0.6185,0.8804,0.594,0.8694,0.5485,0.8549,0.5135,0.8854,0.48,0.8474
NN,0.9999,0.8409,0.4135,0.9114,0.6095,0.733,0.6645,0.629,0.7914,0.9999,0.424,0.5055,0.7225,0.5055,0.6945,0.5935,0.706,0.553,0.682,0.5215,0.6535,0.4995,0.6245,0.4855,0.597,0.4785,0.5725,0.476,0.5515,0.477,0.5355,0.48,0.523
NN,0.9999,0.8744,0.486,0.8284,0.474,0.9029,0.514,0.9294,0.5125,0.8174,0.5435,0.8579,0.539,0.8654,0.526,0.8929,0.361,0.8299,0.4925,0.8934,0.535,0.673,0.407,0.8269,0.514,0.8049,0.467,0.7679,0.394,0.7949,0.4295,0.7819,0.515
NN,0.9999,0.696,0.4685,0.9874,0.5215,0.9999,0.9999,0.679,0.5765,0.7724,0.5655,0.8079,0.0896,0.7889,0.8394,0.8339,0.448,0.733,0.442,0.8279,0.574,0.9159,0.7275,0.735,0.582,0.7465,0.573,0.6625,0.487,0.6955,0.5675,0.672,0.564
NN,0.9999,0.8374,0.5225,0.8849,0.447,0.8869,0.519,0.8299,0.4775,0.8224,0.5055,0.8339,0.43,0.8604,0.4885,0.8849,0.5435,0.8094,0.4605,0.8789,0.381,0.8699,0.4265,0.9244,0.4245,0.8694,0.471,0.8339,0.5115,0.9319,0.519,0.8659,0.504
NN,0.9999,0.8634,0.475,0.9459,0.5175,0.9999,0.8634,0.8319,0.4705,0.741,0.416,0.9089,0.548,0.7839,0.9999,0.7524,0.609,0.8339,0.55,0.9999,0.35,0.9929,0.0001,0.7864,0.6635,0.7849,0.5735,0.7115,0.541,0.7445,0.573,0.9999,0.9999
NN,0.9999,0.7879,0.492,0.702,0.5,0.692,0.5645,0.7,0.4705,0.7824,0.5705,0.7335,0.541,0.7624,0.4725,0.7899,0.508,0.7509,0.5,0.7295,0.5335,0.7899,0.541,0.749,0.502,0.743,0.55,0.7315,0.541,0.7255,0.6175,0.7155,0.5865
NN,0.9999,0.7095,0.5625,0.675,0.5625,0.616,0.64,0.482,0.7215,0.5225,0.681,0.4045,0.668,0.433,0.6365,0.5135,0.7025,0.326,0.5635,0.4,0.5255,0.407,0.682,0.43,0.476,0.45,0.4645,0.0001,0.0001,0.4855,0.4625,0.4975,0.4685
NN,0.9999,0.9229,0.457,0.3415,0.0971,0.455,0.2181,0.9029,0.523,0.9474,0.496,0.4075,0.8199,0.4,0.1596,0.9284,0.4435,0.8899,0.4215,0.465,0.7539,0.3295,0.9044,0.8944,0.4815,0.8544,0.3735,0.8894,0.4295,0.393,0.1091,0.4075,0.2006
NN,0.9999,0.8544,0.376,0.8214,0.5215,0.726,0.6915,0.8259,0.5915,0.75,0.635,0.7889,0.385,0.7519,0.689,0.6935,0.287,0.6805,0.3695,0.635,0.5585,0.7659,0.481,0.6565,0.439,0.7495,0.4785,0.7415,0.478,0.8214,0.374,0.7519,0.574
NN,0.9999,0.2291,0.5745,0.3315,0.8669,0.7599,0.4305,0.6595,0.466,0.6035,0.424,0.737,0.545,0.7814,0.4225,0.582,0.726,0.6685,0.517,0.7524,0.5355,0.1811,0.1921,0.9999,0.8279,0.7065,0.2995,0.424,0.5555,0.512,0.7789,0.7629,0.455
NN,0.9999,0.646,0.568,0.7265,0.584,0.7589,0.4975,0.7629,0.6045,0.7624,0.417,0.737,0.476,0.7774,0.5195,0.9084,0.388,0.712,0.479,0.675,0.533,0.641,0.3955,0.7584,0.484,0.7519,0.483,0.673,0.549,0.8539,0.4905,0.698,0.484
NN,0.9999,0.8959,0.5845,0.5,0.5,0.7824,0.5345,0.6975,0.9999,0.692,0.9979,0.488,0.7659,0.6185,0.5645,0.4865,0.9754,0.2451,0.9244,0.449,0.694,0.287,0.6185,0.0421,0.9034,0.3295,0.9409,0.0001,0.8469,0.0001,0.5645,0.5,0.5
