Target,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
NN,17401.0,23366.0,58116.0,13231.0,14091.0,39960.0,29527.0,15379.0,15379.0,6554.0,0.0,39952.0,35132.0
NN,12822.0,33897.0,23089.0,35859.0,21294.0,10065.0,33034.0,24966.0,7292.0,7292.0,18108.0,8419.0,39952.0
NN,40199.0,9973.0,35705.0,26961.0,37095.0,13024.0,9059.0,23976.0,46091.0,5002.0,5002.0,0.0,9973.0
NN,29438.0,36821.0,10685.0,33445.0,25301.0,48224.0,33078.0,3467.0,65535.0,38409.0,6030.0,6030.0,13624.0
NN,9455.0,22079.0,34457.0,11397.0,22598.0,17421.0,21021.0,23154.0,3746.0,25042.0,49451.0,10143.0,10143.0
NN,23972.0,11268.0,29088.0,40199.0,27069.0,23050.0,24195.0,25967.0,24808.0,4362.0,30903.0,40569.0,3132.0
NN,3132.0,30008.0,34840.0,21728.0,18242.0,7123.0,14689.0,12582.0,37095.0,8683.0,11854.0,11722.0,20405.0
NN,4394.0,4394.0,16729.0,34840.0,22429.0,28376.0,12110.0,23050.0,17974.0,29676.0,30183.0,0.0,23976.0
NN,42730.0,13369.0,13369.0,7243.0,21500.0,37148.0,31754.0,18521.0,43389.0,33874.0,23494.0,29356.0,11016.0
NN,17050.0,50892.0,16220.0,16220.0,9140.0,16967.0,65535.0,60468.0,34905.0,49716.0,65535.0,42041.0,30183.0
NN,26393.0,23976.0,58093.0,8741.0,8741.0,23972.0,47791.0,48012.0,53712.0,22795.0,27570.0,24748.0,37095.0
NN,26876.0,4473.0,23443.0,44410.0,4067.0,4067.0,34837.0,65535.0,26985.0,36821.0,11397.0,37061.0,31938.0
NN,21021.0,33078.0,7381.0,13320.0,43930.0,4768.0,4768.0,14487.0,46237.0,36097.0,35132.0,8548.0,42485.0
NN,37192.0,9892.0,51684.0,8499.0,14386.0,56893.0,4768.0,4768.0,17936.0,18391.0,28387.0,35132.0,10685.0
NN,36609.0,31938.0,29676.0,19433.0,8276.0,20247.0,48251.0,4674.0,4674.0,24144.0,10232.0,32592.0,36821.0
NN,11397.0,39773.0,38851.0,32149.0,28116.0,14874.0,11189.0,37689.0,3459.0,3459.0,13107.0,18003.0,49765.0
NN,60468.0,15671.0,25988.0,26269.0,55643.0,27909.0,9618.0,26107.0,28086.0,8788.0,8788.0,23110.0,11527.0
NN,32943.0,46955.0,12822.0,28022.0,29173.0,33386.0,30804.0,4697.0,21845.0,36248.0,2992.0,2992.0,17419.0
NN,46108.0,35746.0,38510.0,7123.0,25310.0,19495.0,35859.0,19433.0,7381.0,16517.0,31207.0,14117.0,14117.0
NN,31560.0,7900.0,33644.0,24998.0,37042.0,11977.0,12582.0,9892.0,10957.0,15769.0,14919.0,480.0,16454.0
NN,16454.0,31905.0,29141.0,36447.0,31754.0,24219.0,7231.0,12167.0,13602.0,8683.0,23038.0,13853.0,3601.0
NN,11779.0,11779.0,30698.0,20334.0,36447.0,45266.0,19945.0,3842.0,10369.0,17311.0,8683.0,24715.0,9590.0
NN,2160.0,13182.0,13182.0,28801.0,36394.0,35045.0,36821.0,25644.0,16271.0,11890.0,4946.0,8890.0,20801.0
NN,15984.0,480.0,15052.0,15052.0,25524.0,6476.0,31190.0,23309.0,10685.0,23050.0,3318.0,58116.0,17366.0
NN,23317.0,14386.0,5761.0,17389.0,17389.0,27076.0,22277.0,29438.0,26687.0,17096.0,14463.0,4424.0,61825.0
NN,10957.0,32544.0,13320.0,7442.0,19492.0,19492.0,21040.0,51547.0,41354.0,35132.0,13534.0,9039.0,1797.0
NN,49460.0,8063.0,14371.0,14386.0,0.0,20661.0,20661.0,25869.0,61779.0,44858.0,48645.0,18521.0,18305.0
NN,3595.0,61825.0,14265.0,20801.0,18115.0,10082.0,11078.0,11078.0,42425.0,36912.0,29088.0,30065.0,12822.0
NN,14463.0,1936.0,55643.0,9717.0,24715.0,17583.0,13203.0,14117.0,14117.0,31215.0,28753.0,43807.0,45266.0
NN,22082.0,30282.0,3595.0,49460.0,8269.0,20354.0,21845.0,21125.0,14584.0,14584.0,32768.0,26810.0,46961.0
NN,35132.0,18521.0,12655.0,2212.0,49460.0,7029.0,18565.0,15451.0,24966.0,15052.0,15052.0,40183.0,23572.0
NN,34695.0,31754.0,13534.0,9491.0,2212.0,29676.0,4755.0,24156.0,11722.0,28807.0,23465.0,23465.0,42943.0
NN,31472.0,47662.0,43577.0,19233.0,12881.0,2489.0,45751.0,2894.0,17167.0,21845.0,18964.0,11312.0,11312.0
NN,44667.0,54526.0,34695.0,31754.0,15671.0,23050.0,6360.0,42041.0,12611.0,17446.0,22911.0,18724.0,12714.0
NN,12714.0,21040.0,40668.0,29438.0,26687.0,29918.0,9039.0,6083.0,19784.0,15092.0,38751.0,9058.0,17524.0
NN,26971.0,26971.0,36734.0,36653.0,27686.0,35132.0,22795.0,11751.0,2903.0,37095.0,18399.0,15209.0,6394.0
NN,9842.0,25803.0,25803.0,49151.0,55692.0,30490.0,31754.0,7123.0,0.0,0.0,33386.0,5582.0,20242.0
NN,5328.0,1440.0,6404.0,6404.0,31733.0,50123.0,39251.0,36821.0,11397.0,16271.0,4286.0,42041.0,9303.0
NN,35619.0,3197.0,14163.0,16220.0,16220.0,39493.0,32379.0,35746.0,36821.0,15671.0,21468.0,5807.0,39568.0
NN,17366.0,39925.0,3730.0,8402.0,17389.0,17389.0,35354.0,40927.0,35045.0,36821.0,30630.0,9717.0,14517.0
NN,25967.0,15092.0,45405.0,4795.0,1440.0,12714.0,12714.0,42598.0,30825.0,44157.0,45266.0,37754.0,9491.0
NN,17006.0,11129.0,17366.0,40931.0,5861.0,720.0,10377.0,10377.0,30353.0,24997.0,39251.0,38510.0,29918.0
NN,11299.0,14102.0,13602.0,17572.0,53233.0,0.0,4801.0,9442.0,9442.0,35872.0,15024.0,48713.0,50334.0
NN,32768.0,27570.0,12996.0,16075.0,23775.0,32544.0,6926.0,1440.0,6871.0,6871.0,37941.0,33156.0,32242.0
NN,26687.0,19945.0,18531.0,6775.0,59352.0,30183.0,51668.0,4262.0,5761.0,18557.0,18557.0,26731.0,7123.0
NN,25934.0,31754.0,23507.0,11299.0,3318.0,49460.0,20467.0,35340.0,5328.0,6722.0,16921.0,16921.0,36907.0
NN,57635.0,33644.0,38510.0,16384.0,17175.0,4010.0,59352.0,23568.0,37017.0,6394.0,5041.0,20895.0,20895.0
NN,48461.0,43776.0,35746.0,30065.0,13534.0,18531.0,6775.0,43278.0,23775.0,43224.0,4795.0,8882.0,9442.0
NN,9442.0,24489.0,29659.0,44858.0,55401.0,19233.0,20790.0,3318.0,61825.0,15092.0,34781.0,10123.0,11043.0
NN,28140.0,28140.0,57084.0,12174.0,46961.0,48645.0,19945.0,41129.0,13411.0,49460.0,47342.0,65535.0,4795.0
NN,16564.0,17856.0,17856.0,42253.0,12045.0,44858.0,40199.0,13534.0,36609.0,10508.0,48224.0,38866.0,58545.0
NN,4795.0,12243.0,15986.0,15986.0,22937.0,40020.0,35746.0,35132.0,12822.0,29830.0,8019.0,45751.0,13024.0
NN,35619.0,4262.0,7442.0,11312.0,11312.0,45874.0,32638.0,41354.0,31754.0,26356.0,19209.0,3042.0,45751.0
NN,8063.0,25722.0,25575.0,13203.0,18791.0,18791.0,31388.0,32767.0,42755.0,38510.0,25644.0,15141.0,3595.0
NN,58116.0,11370.0,24044.0,20779.0,20165.0,13649.0,13649.0,33285.0,35099.0,34695.0,26687.0,25644.0,9265.0
NN,4977.0,33386.0,10957.0,22367.0,10656.0,11523.0,18557.0,18557.0,47427.0,26162.0,32943.0,38510.0,14247.0
NN,8361.0,4701.0,34622.0,12818.0,46411.0,11722.0,9842.0,15753.0,15753.0,46564.0,46885.0,31541.0,40199.0
NN,12822.0,6779.0,1797.0,48224.0,15298.0,29860.0,15984.0,11523.0,11312.0,11312.0,41735.0,38337.0,43456.0
NN,41888.0,29206.0,16271.0,8019.0,37095.0,21707.0,52562.0,19714.0,6962.0,19492.0,19492.0,30870.0,34063.0
NN,32943.0,30065.0,12822.0,11299.0,4424.0,33386.0,11577.0,50214.0,12787.0,11523.0,19025.0,19025.0,43977.0
NN,23831.0,46610.0,46955.0,24932.0,12881.0,6913.0,32149.0,23361.0,41267.0,13853.0,12723.0,22063.0,22063.0
NN,40873.0,49993.0,52568.0,48645.0,29918.0,22598.0,8572.0,17311.0,14471.0,40372.0,10123.0,15604.0,16454.0
NN,16454.0,20178.0,29659.0,33644.0,28376.0,18521.0,6102.0,2074.0,33386.0,6616.0,23597.0,9590.0,13443.0
NN,10845.0,10845.0,30008.0,21370.0,32242.0,30065.0,11397.0,9265.0,2350.0,43278.0,4755.0,48201.0,4795.0
NN,8642.0,8975.0,8975.0,53980.0,22924.0,39251.0,31754.0,14959.0,15819.0,4977.0,38332.0,17159.0,47082.0
NN,7459.0,10562.0,17856.0,17856.0,46219.0,63592.0,38200.0,33443.0,17808.0,15819.0,3733.0,48224.0,13438.0
NN,35899.0,8525.0,11283.0,21596.0,21596.0,40873.0,41057.0,39251.0,41888.0,22795.0,18531.0,5669.0,37095.0
NN,20674.0,33662.0,11722.0,6962.0,22063.0,22063.0,38631.0,45849.0,31541.0,31754.0,35617.0,13785.0,4839.0
NN,37095.0,19433.0,49878.0,5861.0,6962.0,26036.0,26036.0,36907.0,23960.0,35396.0,31754.0,35617.0,15141.0
NN,4701.0,49460.0,21707.0,44846.0,6394.0,8402.0,26270.0,26270.0,53463.0,43517.0,48363.0,46955.0,18521.0
